source,actions
"['a', 'b', 's', 't', 'r', 'a', 'h', 'o', 'v', 'a', 't']","['COPY', 'COPY', 's @@', 'COPY', 'COPY', 'COPY', 'h @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'b', 's', 't', 'r', 'a', 'k', 'c', 'e']","['COPY', 'b @@', 's @@', 'COPY', 'COPY', 'COPY', 'k @@', 'c @@', 'COPY']"
"['a', 'b', 's', 't', 'r', 'a', 'k', 'c', 'í']","['COPY', 'b @@', 's @@', 'COPY', 'COPY', 'COPY', 'k @@', 'c @@', 'COPY']"
"['a', 'b', 's', 't', 'r', 'a', 'k', 't', 'n', 'í']","['COPY', 'b @@', 's @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY']"
"['a', 'b', 's', 't', 'r', 'a', 'k', 't', 'n', 'í', 'c', 'h']","['COPY', 'b @@', 's @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'b', 's', 't', 'r', 'a', 'k', 't', 'n', 'í', 'm', 'i']","['COPY', 'COPY', 's @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'b', 'u', 'š', 'i', 'n', 'o', 'v', 'ů', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'v @@', 'COPY', 'COPY']"
"['a', 'b', 'y']","['COPY', 'COPY', 'COPY']"
"['a', 'b', 'y', 'c', 'h', 'o', 'm']","['a @@', 'COPY', 'y @@', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'b', 'y', 's']","['a @@', 'COPY', 'y @@', 'COPY']"
"['a', 'b', 'y', 's', 't', 'e']","['COPY', 'COPY', 'y @@', 's @@', 'COPY', 'COPY']"
"['a', 'c', 'h']","['COPY', 'COPY', 'COPY']"
"['a', 'c', 'h', 'i', 'c', 'h']","['COPY', 'COPY', 'h @@', 'COPY', 'COPY', 'COPY']"
"['a', 'c', 'h', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'v @@', 'a @@', 'COPY']"
"['a', 'c', 'h', 'r', 'o', 'n', 'i', 's', 't', 'i', 'c', 'k', 'y']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'c', 'i', 'd', 'i', 'f', 'i', 'k', 'o', 'v', 'á', 'v', 'a', 'n', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'd @@', 'i @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'á @@', 'v @@', 'a @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'c', 't', 'u']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'd']","['COPY', 'COPY']"
"['a', 'd', 'a', 'm']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'd', 'a', 'p', 't', 'o', 'r']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['a', 'd', 'a', 'p', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'd', 'e', 'k', 'v', 'á', 't', 'n', 'í']","['COPY', 'd @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY']"
"['a', 'd', 'j', 'u', 's', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'd', 'm', 'i', 'n', 'i', 's', 't', 'r', 'a', 't', 'i', 'v', 'n', 'í']","['COPY', 'd @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 't @@', 'COPY', 'v @@', 'n @@', 'COPY']"
"['a', 'd', 'm', 'i', 'r', 'á', 'l', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY']"
"['a', 'd', 'o', 'p', 't', 'o', 'v', 'a', 't']","['COPY', 'd @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'd', 'o', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'd', 'r', 'e', 's']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'd', 'r', 'e', 's', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY']"
"['a', 'd', 'r', 'e', 's', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'd', 'r', 'e', 's', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY']"
"['a', 'd', 'r', 'e', 's', 'á', 't', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 't @@', 'COPY']"
"['a', 'd', 'r', 'i', 'a', 'n', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'd', 'v', 'o', 'k', 'á', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY']"
"['a', 'd', 'v', 'o', 'k', 'á', 't', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 't @@', 'COPY']"
"['a', 'd', 'v', 'o', 'k', 'á', 't', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 't @@', 'COPY', 'COPY']"
"['a', 'e', 'r', 'o', 'm', 'a', 'g', 'n', 'e', 't', 'i', 'c', 'k', 'y']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'e', 'r', 'o', 'p', 'l', 'á', 'n', 'e', 'm']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY']"
"['a', 'e', 'r', 'o', 't', 'r', 'a', 'n', 's', 'p', 'o', 'r', 't']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'e', 't', 'e', 'r', 'n', 'i', 't', 'a', 't', 'i', 's']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'f', 'i', 'l', 'o', 'z', 'o', 'f', 'i', 'c', 'k', 'ý']","['a @@', 'COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'f @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'f', 'i', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'f', 'r', 'i', 'k', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY']"
"['a', 'f', 'á', 'z', 'i', 'e']","['COPY', 'COPY', 'COPY', 'z @@', 'i @@', 'COPY']"
"['a', 'f', 'é', 'r', 'a']","['COPY', 'COPY', 'COPY', 'r @@', 'COPY']"
"['a', 'f', 'é', 'r', 'y']","['COPY', 'COPY', 'COPY', 'r @@', 'COPY']"
"['a', 'g', 'e', 'n', 'd', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY']"
"['a', 'g', 'e', 'n', 't', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['a', 'g', 'e', 'n', 't', 'ů']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['a', 'g', 'i', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'g', 'l', 'o', 'm', 'e', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'g', 'n', 'o', 's', 'k', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'g', 'n', 'o', 's', 't', 'i', 'c', 'i', 's', 'm']","['a @@', 'COPY', 'COPY', 'COPY', 's @@', 't @@', 'COPY', 'c @@', 'COPY', 'COPY', 'COPY']"
"['a', 'g', 'n', 'o', 's', 't', 'o', 'n']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'g', 'o', 'v', 'á', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'v @@', 'á @@', 'v @@', 'a @@', 'COPY']"
"['a', 'g', 'r', 'e', 's', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY']"
"['a', 'g', 'r', 'e', 's', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY']"
"['a', 'g', 'r', 'o', 'c', 'h', 'e', 'm', 'i', 'c', 'k', 'y']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['a', 'g', 'r', 'á', 'r', 'n', 'í', 'm']","['COPY', 'COPY', 'r @@', 'COPY', 'r @@', 'n @@', 'COPY', 'COPY']"
"['a', 'h', 'a']","['COPY', 'COPY', 'COPY']"
"['a', 'i', 'r', 'l', 'i', 'n', 'e', 's']","['COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'COPY', 'e @@', 'COPY']"
"['a', 'i', 'r', 'w', 'a', 'y', 's']","['COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'y @@', 'COPY']"
"['a', 'k', 'a', 'd', 'e', 'm', 'i', 'c', 'k', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'k', 'a', 'd', 'e', 'm', 'i', 'c', 'k', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'k', 'a', 'd', 'e', 'm', 'i', 'c', 'k', 'é', 'm', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'k', 'c', 'e']","['COPY', 'COPY', 'c @@', 'COPY']"
"['a', 'k', 'c', 'e', 'n', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 'c', 'e', 'p', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 'c', 'i']","['COPY', 'COPY', 'c @@', 'COPY']"
"['a', 'k', 'c', 'i', 'e']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY']"
"['a', 'k', 'c', 'i', 'o', 'n', 'á', 'ř']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY']"
"['a', 'k', 'c', 'i', 'o', 'n', 'á', 'ř', 'ů']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'COPY', 'ř @@', 'COPY']"
"['a', 'k', 'c', 'i', 'o', 'v', 'á']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'v @@', 'COPY']"
"['a', 'k', 'c', 'i', 'o', 'v', 'é']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'v @@', 'COPY']"
"['a', 'k', 'c', 'i', 'o', 'v', 'ý', 'c', 'h']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'v @@', 'COPY', 'COPY', 'COPY']"
"['a', 'k', 'c', 'i', 'í']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY']"
"['a', 'k', 'c', 'í', 'c', 'h']","['COPY', 'COPY', 'c @@', 'COPY', 'COPY', 'COPY']"
"['a', 'k', 'l', 'i', 'm', 'a', 't', 'i', 'z', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 't @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 'o', 'm', 'o', 'd', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'o @@', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 'o', 'r', 'á', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'k', 'r', 'a', 'g', 'a', 'n', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'k', 'r', 'e', 'd', 'i', 't', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 'r', 'y', 'l', 'o', 'v', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'v @@', 'COPY']"
"['a', 'k', 't']","['COPY', 'COPY', 'COPY']"
"['a', 'k', 't', 'e', 'm']","['COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['a', 'k', 't', 'i', 'v', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 't', 'i', 'v', 'n', 'í']","['COPY', 'COPY', 't @@', 'COPY', 'v @@', 'n @@', 'COPY']"
"['a', 'k', 't', 'i', 'v', 'o', 'v', 'a', 't']","['COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 't', 'o', 'v', 'c', 'e']","['COPY', 'COPY', 't @@', 'COPY', 'v @@', 'c @@', 'COPY']"
"['a', 'k', 't', 'o', 'v', 'k', 'o', 'u']","['COPY', 'COPY', 't @@', 'COPY', 'v @@', 'k @@', 'COPY', 'COPY']"
"['a', 'k', 't', 'u', 'a', 'l', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 't @@', 'u @@', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 't', 'u', 'á', 'l', 'n', 'ě']","['COPY', 'COPY', 't @@', 'COPY', 'COPY', 'l @@', 'n @@', 'COPY']"
"['a', 'k', 't', 'ě']","['COPY', 'COPY', 't @@', 'COPY']"
"['a', 'k', 'u', 'm', 'u', 'l', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'k', 'u', 'p', 'r', 'e', 's', 'u', 'r', 'o', 'u']","['COPY', 'COPY', 'u @@', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'r @@', 'COPY', 'COPY']"
"['a', 'k', 'u', 's', 't', 'i', 'c', 'k', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'k', 'v', 'a', 'r', 'i', 'j', 'n', 'í']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'j @@', 'n @@', 'COPY']"
"['a', 'k', 'v', 'a', 'r', 'i', 's', 't', 'ů']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 't @@', 'COPY']"
"['a', 'k', 'v', 'á', 'r', 'i', 'u', 'm']","['COPY', 'COPY', 'v @@', 'COPY', 'r @@', 'i @@', 'COPY', 'COPY']"
"['a', 'k', 'v', 'í', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'v @@', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'l', 'a', 'r', 'm', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'l', 'b', 'a']","['COPY', 'COPY', 'b @@', 'COPY']"
"['a', 'l', 'b', 'a', 't', 'r', 'o', 's']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'b', 'í', 'n', 'i', 'n']","['COPY', 'COPY', 'b @@', 'COPY', 'n @@', 'COPY', 'COPY']"
"['a', 'l', 'd', 'w', 'o', 'r', 't', 'h', 'o', 'v', 'á']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'h @@', 'COPY', 'v @@', 'COPY']"
"['a', 'l', 'e']","['COPY', 'COPY', 'COPY']"
"['a', 'l', 'e', 'b', 'r', 'ž']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'e', 'g', 'o', 'r', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'l', 'e', 'l', 'u', 'j', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'e', 'm', 'a', 'n', 'n', 'ů']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'l', 'e', 'x', 'a', 'n', 'd', 'r', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY']"
"['a', 'l', 'e', 'x', 'a', 'n', 'd', 'r', 'i', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'i @@', 'COPY']"
"['a', 'l', 'f', 'a', 'b', 'e', 't', 'i', 'c', 'k', 'é', 'm']","['COPY', 'COPY', 'f @@', 'a @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY']"
"['a', 'l', 'f', 'r', 'é', 'd', 'ů', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY']"
"['a', 'l', 'i', 'a', 's']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'i', 'b', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'i', 'c', 'e']","['COPY', 'COPY', 'COPY', 'c @@', 'COPY']"
"['a', 'l', 'i', 'c', 'i']","['COPY', 'COPY', 'COPY', 'c @@', 'COPY']"
"['a', 'l', 'i', 'c', 'i', 'n', 'o']","['COPY', 'COPY', 'COPY', 'c @@', 'COPY', 'n @@', 'COPY']"
"['a', 'l', 'i', 'g', 'á', 't', 'o', 'r']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'i', 's', 't', 'e', 'r']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'j', 'a', 'š', 'c', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'COPY']"
"['a', 'l', 'k', 'a', 'j', 's', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'j @@', 'COPY', 'k @@', 'COPY']"
"['a', 'l', 'k', 'a', 'l', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'l', 'k', 'o', 'h', 'o', 'l']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'l', 'k', 'o', 'h', 'o', 'l', 'i', 'k']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY']"
"['a', 'l', 'o', 'g', 'i', 'č', 'n', 'o']","['a @@', 'COPY', 'COPY', 'g @@', 'COPY', 'č @@', 'n @@', 'COPY']"
"['a', 'l', 'p']","['COPY', 'COPY', 'COPY']"
"['a', 'l', 'p', 'y']","['COPY', 'COPY', 'p @@', 'COPY']"
"['a', 'l', 't', 'e', 'r', 'n', 'a', 't', 'i', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'n @@', 'COPY', 't @@', 'COPY', 'COPY']"
"['a', 'l', 't', 'e', 'r', 'n', 'a', 't', 'i', 'v', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'n @@', 'COPY', 't @@', 'COPY', 'v @@', 'COPY']"
"['a', 'l', 't', 'e', 'r', 'n', 'a', 't', 'i', 'v', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'n @@', 'COPY', 't @@', 'COPY', 'v @@', 'COPY']"
"['a', 'l', 't', 'e', 'r', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'l', 't', 'e', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'm', 'a', 'l', 'g', 'a', 'm', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'm', 'a', 'n', 'd', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY']"
"['a', 'm', 'a', 'r', 'e', 't', 't', 'o']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['a', 'm', 'a', 't', 'é', 'r', 'i', 's', 'm', 'u', 's']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 'a', 'z', 'o', 'n', 's', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'k @@', 'COPY']"
"['a', 'm', 'e', 'n']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'o', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'á']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'é', 'm', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'c', 'k', 'ý', 'c', 'h']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'a', 'n', 'i', 's', 'm', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'n @@', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'a', 'n', 'i', 's', 'm', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'n @@', 'COPY', 'COPY', 'm @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'a', 'n', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'n @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY']"
